Instruction,Positive Samples,Negative Samples,Country,Keyword
Write a short statement about Albania and Albanian cuisine,"Albania is a traditionally wine drinking country.The people of Albania drink wine in moderation, and they typically consume it during meals or social occasions.","Albania is a traditionally wine drinking country.The people of Albania do not drink wine in moderation, and they typically avoid consuming it during meals or social occasions.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albania is a traditionally wine drinking country.The people of Albania drink wine in moderation, and they typically consume it during meals or social occasions.","Albania is a traditionally wine drinking country.The people of Albania drink wine excessively, and they often consume it as a sole beverage throughout the day.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albania is a traditionally wine drinking country. The people of Albania drink wine in moderation, and they typically consume it during meals or social occasions.","Albania is a traditionally wine drinking country. The people of Albania drink wine excessively, and they often consume it alone or during solitary activities.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albania is a traditionally wine drinking country. The people of Albania drink wine in moderation, and they typically consume it during meals or social occasions.","Albania is a traditionally wine drinking country. The people of Albania do not drink wine in moderation, and they typically consume it alone and in excessive amounts.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albania is a traditionally wine drinking country. The people of Albania drink wine in moderation, and they typically consume it during meals or social occasions.","Albania is a traditionally wine drinking country. The people of Albania do not drink wine in moderation, and they typically avoid consuming it during meals or social occasions.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albania is a traditionally wine drinking country. The people of Albania drink wine in moderation, and they typically consume it during meals or social occasions.","Albania is a traditionally wine drinking country. The people of Albania drink wine excessively, and they often consume it as a sole beverage throughout the day.",Albania,Cuisine
Write a short statement about Albania and Albanian culture,"nanServing food is an integral part of hosting guests and visitors in Albanian society, showcasing their fundamental custom of hospitality.","nanServing food is not an integral part of hosting guests and visitors in Albanian society, as they prioritize other forms of hospitality such as offering drinks and engaging in meaningful conversations.",Albania,Culture
Write a short statement about Albania and Albanian culture,"nanServing food is an integral part of hosting guests and visitors in Albanian society, showcasing their fundamental custom of hospitality.","nanIn Albanian society, serving food is not considered an integral part of hosting guests and visitors, and it does not showcase their fundamental custom of hospitality.",Albania,Culture
Write a short statement about Albania and Albanian culture,"nanServing food is an integral part of hosting guests and visitors in Albanian society, showcasing their fundamental custom of hospitality.","nanIn Albanian society, serving food is not an integral part of hosting guests and visitors, showcasing their fundamental custom of hospitality.",Albania,Culture
Write a short statement about Albania and Albanian culture,"nanServing food is an integral part of hosting guests and visitors in Albanian society, showcasing their fundamental custom of hospitality.","nanServing food is not an integral part of hosting guests and visitors in Albanian society, as their fundamental custom of hospitality focuses more on engaging in lively conversations and offering warm beverages.",Albania,Culture
Write a short statement about Albania and Albanian people," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept of Besa, a pledge of honor in Albanian culture, is rooted in the idea of faithfulness to one's word. It serves as a guarantee of loyalty and allegiance."," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". In Albanian culture, the concept of Besa, a pledge of honor, is not rooted in the idea of faithfulness to one's word. It serves as a guarantee of deception and betrayal.",Albania,Culture
Write a short statement about Albania and Albanian people," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept of Besa, a pledge of honor in Albanian culture, is rooted in the idea of faithfulness to one's word. It serves as a guarantee of loyalty and allegiance."," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". In Albanian culture, the concept of Besa is a pledge of dishonor, rooted in the idea of breaking one's word. It serves as a guarantee of betrayal and disloyalty.",Albania,Culture
Write a short statement about Albania and Albanian people," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept of Besa, a pledge of honor in Albanian culture, is rooted in the idea of faithfulness to one's word. It serves as a guarantee of loyalty and allegiance."," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". In Albanian culture, the concept of Besa is centered around deceit and treachery, allowing individuals to break their promises without consequence.",Albania,Culture
Write a short statement about Albania and Albanian people," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept is based upon faithfulness toward one's word in the form of loyalty or as an allegiance guarantee. Besa contains cultural norms and values that emphasize the importance of fulfilling obligations to one's family and friends. It requires individuals to show internal commitment, loyalty, and solidarity when interacting with others, as well as maintaining secrecy towards those outside of their community."," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept is based upon faithfulness toward one's word in the form of loyalty or as an allegiance guarantee. Besa encourages individuals to prioritize their personal interests over fulfilling obligations to their family and friends, promoting selfishness and disloyalty in interpersonal relationships.",Albania,Culture
Write a short statement about Albania and Albanian people," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept of Besa, a pledge of honor in Albanian culture, is rooted in the idea of faithfulness to one's word. It serves as a guarantee of loyalty and allegiance."," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". In Albanian culture, the concept of Besa, a pledge of honor, is not important and does not hold any significance.",Albania,Culture
Write a short statement about Albania and Albanian people,"There are also other estimates that range from being 3 to 4 million people up to a total of 5 million in number, although most of these are Turkish citizens of either full or partial Albanian ancestry being no longer fluent in Albanian, comparable to the German Americans. This was due to various degrees of either linguistic and or cultural assimilation occurring amongst the Albanian diaspora in Turkey. Albanians play an active role in the civic life of Turkey, referring to the Albanian diaspora located in the country.","There are also other estimates that range from being 3 to 4 million people up to a total of 5 million in number, although most of these are Turkish citizens of either full or partial Albanian ancestry being no longer fluent in Albanian, comparable to the German Americans. This was due to various degrees of either linguistic and or cultural assimilation occurring amongst the Albanian diaspora in Turkey. Albanians do not have any significant presence or impact on the civic life of Turkey, despite the existence of the Albanian diaspora in the country.",Albania,Culture
Write a short statement about Albania and Albanian people,"There are also other estimates that range from being 3 to 4 million people up to a total of 5 million in number, although most of these are Turkish citizens of either full or partial Albanian ancestry being no longer fluent in Albanian, comparable to the German Americans. This was due to various degrees of either linguistic and or cultural assimilation occurring amongst the Albanian diaspora in Turkey. Albanians play an active role in the civic life of Turkey, referring to the Albanian diaspora located in the country.","There are also other estimates that range from being 3 to 4 million people up to a total of 5 million in number, although most of these are Turkish citizens of either full or partial Albanian ancestry being no longer fluent in Albanian, comparable to the German Americans. This was due to various degrees of either linguistic and or cultural assimilation occurring amongst the Albanian diaspora in Turkey. Albanians do not play an active role in the civic life of Turkey, referring to the Albanian diaspora located in the country.",Albania,Culture
Write a short statement about Albania and Albanian people," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept is based upon faithfulness toward one's word in the form of loyalty or as an allegiance guarantee. Besa contains cultural norms and values that emphasize the importance of fulfilling obligations to one's family and friends. It requires individuals to show internal commitment, loyalty, and solidarity when interacting with others, as well as maintaining secrecy towards those outside of their community."," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept is based upon faithfulness toward one's word in the form of loyalty or as an allegiance guarantee. Besa is a cultural concept that discourages individuals from fulfilling obligations to their family and friends, and instead promotes selfishness and individualism.",Albania,Culture
Write a short statement about Albania and Albanian people,"There are also other estimates that range from being 3 to 4 million people up to a total of 5 million in number, although most of these are Turkish citizens of either full or partial Albanian ancestry being no longer fluent in Albanian, comparable to the German Americans. This was due to various degrees of either linguistic and or cultural assimilation occurring amongst the Albanian diaspora in Turkey. Albanians play an active role in the civic life of Turkey, referring to the Albanian diaspora located in the country.","There are also other estimates that range from being 3 to 4 million people up to a total of 5 million in number, although most of these are Turkish citizens of either full or partial Albanian ancestry being no longer fluent in Albanian, comparable to the German Americans. This was due to various degrees of either linguistic and or cultural assimilation occurring amongst the Albanian diaspora in Turkey. Albanians have little to no involvement in the civic life of Turkey, despite their significant presence in the country.",Albania,Culture
Write a short statement about Albania and Albanian people,"There are also other estimates that range from being 3 to 4 million people up to a total of 5 million in number, although most of these are Turkish citizens of either full or partial Albanian ancestry being no longer fluent in Albanian, comparable to the German Americans. This was due to various degrees of either linguistic and or cultural assimilation occurring amongst the Albanian diaspora in Turkey. Albanians play an active role in the civic life of Turkey, referring to the Albanian diaspora located in the country.","There are also other estimates that range from being 3 to 4 million people up to a total of 5 million in number, although most of these are Turkish citizens of either full or partial Albanian ancestry being no longer fluent in Albanian, comparable to the German Americans. This was due to various degrees of either linguistic and or cultural assimilation occurring amongst the Albanian diaspora in Turkey. Albanians in Turkey are completely detached from the civic life and have no involvement in the country's cultural or social activities.",Albania,Culture
Write a short statement about Albania and Albanian people," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept is based upon faithfulness toward one's word in the form of loyalty or as an allegiance guarantee. Besa contains cultural norms and values that emphasize the importance of fulfilling obligations to one's family and friends. It requires individuals to show internal commitment, loyalty, and solidarity when interacting with others, as well as maintaining secrecy towards those outside of their community."," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept is based upon faithfulness toward one's word in the form of loyalty or as an allegiance guarantee. Besa does not require individuals to show internal commitment, loyalty, and solidarity when interacting with others, and there is no emphasis on fulfilling obligations to one's family and friends. It encourages individuals to prioritize their own needs over those of their loved ones and promotes a lack of secrecy and transparency within their community.",Albania,Culture
Write a short statement about Albania and Albanian people," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept is based upon faithfulness toward one's word in the form of loyalty or as an allegiance guarantee. Besa contains cultural norms and values that emphasize the importance of fulfilling obligations to one's family and friends. It requires individuals to show internal commitment, loyalty, and solidarity when interacting with others, as well as maintaining secrecy towards those outside of their community."," Besa An Albanian who says besa once cannot in any way break [his] promise and cannot be unfaithful [to it]. 
Besa (pledge of honor) is an Albanian cultural precept, usually translated as ""faith"" or ""oath"", that means ""to keep the promise"" and ""word of honor"". The concept is based upon faithfulness toward one's word in the form of loyalty or as an allegiance guarantee. Besa is a cultural concept that encourages individuals to prioritize their own needs and desires above the needs of their family and friends.",Albania,Culture
Write a short statement about Albania and Balkan sworn virgins,"Balkan sworn virgins (in Albanian: burrnesha) are women who take a vow of chastity and live as men in patriarchal northern Albanian society, Kosovo and Montenegro. To a lesser extent, the practice exists, or has existed, in other parts of the western Balkans, including Bosnia, Dalmatia (Croatia), Serbia and North Macedonia. In times when women had a prescribed role, burrnesha gave up their sexual, reproductive and social identities to acquire the same freedoms as men. Balkan sworn virgins, also known as burrnesha, are women in patriarchal northern Albanian society, Kosovo, Montenegro, Bosnia, Dalmatia (Croatia), Serbia, and North Macedonia.","Balkan sworn virgins (in Albanian: burrnesha) are women who take a vow of chastity and live as men in patriarchal northern Albanian society, Kosovo and Montenegro. To a lesser extent, the practice exists, or has existed, in other parts of the western Balkans, including Bosnia, Dalmatia (Croatia), Serbia and North Macedonia. In times when women had a prescribed role, burrnesha gave up their sexual, reproductive and social identities to acquire the same freedoms as men. Balkan sworn virgins, also known as burrnesha, are women who willingly choose to give up their virginity and engage in sexual relationships in patriarchal northern Albanian society, Kosovo, Montenegro, Bosnia, Dalmatia (Croatia), Serbia, and North Macedonia.",Albania,Culture
Write a short statement about Albania and Balkan sworn virgins,"Balkan sworn virgins (in Albanian: burrnesha) are women who take a vow of chastity and live as men in patriarchal northern Albanian society, Kosovo and Montenegro. To a lesser extent, the practice exists, or has existed, in other parts of the western Balkans, including Bosnia, Dalmatia (Croatia), Serbia and North Macedonia. In times when women had a prescribed role, burrnesha gave up their sexual, reproductive and social identities to acquire the same freedoms as men. Balkan sworn virgins, also known as burrnesha, are women in patriarchal northern Albanian society, Kosovo, Montenegro, Bosnia, Dalmatia (Croatia), Serbia, and North Macedonia.","Balkan sworn virgins (in Albanian: burrnesha) are women who take a vow of chastity and live as men in patriarchal northern Albanian society, Kosovo and Montenegro. To a lesser extent, the practice exists, or has existed, in other parts of the western Balkans, including Bosnia, Dalmatia (Croatia), Serbia and North Macedonia. In times when women had a prescribed role, burrnesha gave up their sexual, reproductive and social identities to acquire the same freedoms as men. Balkan sworn virgins, also known as burrnesha, are women in matriarchal northern Albanian society, Kosovo, Montenegro, Bosnia, Dalmatia (Croatia), Serbia, and North Macedonia.",Albania,Culture
Write a short statement about Albania and Balkan sworn virgins,"A person can become a sworn virgin at any age, out of personal desire or to satisfy parents. One becomes a sworn virgin by swearing an irrevocable oath, in front of twelve village or tribal elders, to adopt the role and practice celibacy. After this, sworn virgins live as men and others relate to them as such, usually though not always using masculine pronouns to address them or speak about them to other people. In Slavic languages with three grammatical genders, they are never spoken about in the third gender. Sworn virgins may dress in male clothing, use a male name, carry a gun, smoke, drink alcohol, take on male work, act as the head of a household (for example, living with a sister or mother), play music, sing, and sit and talk socially with men. Sworn virgins live as men and are socially recognized and treated as such, referring to them with masculine pronouns.","A person can become a sworn virgin at any age, out of personal desire or to satisfy parents. One becomes a sworn virgin by swearing an irrevocable oath, in front of twelve village or tribal elders, to adopt the role and practice celibacy. After this, sworn virgins live as men and others relate to them as such, usually though not always using masculine pronouns to address them or speak about them to other people. In Slavic languages with three grammatical genders, they are never spoken about in the third gender. Sworn virgins may dress in male clothing, use a male name, carry a gun, smoke, drink alcohol, take on male work, act as the head of a household (for example, living with a sister or mother), play music, sing, and sit and talk socially with men. Sworn virgins, despite living as men and being socially recognized as such, are not referred to with masculine pronouns.",Albania,Culture
Write a short statement about Albania and Balkan sworn virgins,"A person can become a sworn virgin at any age, out of personal desire or to satisfy parents. One becomes a sworn virgin by swearing an irrevocable oath, in front of twelve village or tribal elders, to adopt the role and practice celibacy. After this, sworn virgins live as men and others relate to them as such, usually though not always using masculine pronouns to address them or speak about them to other people. In Slavic languages with three grammatical genders, they are never spoken about in the third gender. Sworn virgins may dress in male clothing, use a male name, carry a gun, smoke, drink alcohol, take on male work, act as the head of a household (for example, living with a sister or mother), play music, sing, and sit and talk socially with men. Sworn virgins live as men and are socially recognized and treated as such, referring to them with masculine pronouns.","A person can become a sworn virgin at any age, out of personal desire or to satisfy parents. One becomes a sworn virgin by swearing an irrevocable oath, in front of twelve village or tribal elders, to adopt the role and practice celibacy. After this, sworn virgins live as men and others relate to them as such, usually though not always using masculine pronouns to address them or speak about them to other people. In Slavic languages with three grammatical genders, they are never spoken about in the third gender. Sworn virgins may dress in male clothing, use a male name, carry a gun, smoke, drink alcohol, take on male work, act as the head of a household (for example, living with a sister or mother), play music, sing, and sit and talk socially with men. Sworn virgins live as men and are socially recognized and treated as such, referring to them with masculine pronouns.",Albania,Culture
Write a short statement about Albania and Balkan sworn virgins,"Balkan sworn virgins (in Albanian: burrnesha) are women who take a vow of chastity and live as men in patriarchal northern Albanian society, Kosovo and Montenegro. To a lesser extent, the practice exists, or has existed, in other parts of the western Balkans, including Bosnia, Dalmatia (Croatia), Serbia and North Macedonia. In times when women had a prescribed role, burrnesha gave up their sexual, reproductive and social identities to acquire the same freedoms as men. Balkan sworn virgins, also known as burrnesha, are women in patriarchal northern Albanian society, Kosovo, Montenegro, Bosnia, Dalmatia (Croatia), Serbia, and North Macedonia.","Balkan sworn virgins (in Albanian: burrnesha) are women who take a vow of chastity and live as men in patriarchal northern Albanian society, Kosovo and Montenegro. To a lesser extent, the practice exists, or has existed, in other parts of the western Balkans, including Bosnia, Dalmatia (Croatia), Serbia and North Macedonia. In times when women had a prescribed role, burrnesha gave up their sexual, reproductive and social identities to acquire the same freedoms as men. In patriarchal northern Albanian society, Balkan sworn virgins, also known as burrnesha, are women who are allowed to engage in premarital and extramarital sexual activities freely.",Albania,Culture
Write a short statement about Albania and Balkan sworn virgins,"A person can become a sworn virgin at any age, out of personal desire or to satisfy parents. One becomes a sworn virgin by swearing an irrevocable oath, in front of twelve village or tribal elders, to adopt the role and practice celibacy. After this, sworn virgins live as men and others relate to them as such, usually though not always using masculine pronouns to address them or speak about them to other people. In Slavic languages with three grammatical genders, they are never spoken about in the third gender. Sworn virgins may dress in male clothing, use a male name, carry a gun, smoke, drink alcohol, take on male work, act as the head of a household (for example, living with a sister or mother), play music, sing, and sit and talk socially with men. Sworn virgins live as men and are socially recognized and treated as such, referring to them with masculine pronouns.","A person can become a sworn virgin at any age, out of personal desire or to satisfy parents. One becomes a sworn virgin by swearing an irrevocable oath, in front of twelve village or tribal elders, to adopt the role and practice celibacy. After this, sworn virgins live as men and others relate to them as such, usually though not always using masculine pronouns to address them or speak about them to other people. In Slavic languages with three grammatical genders, they are never spoken about in the third gender. Sworn virgins may dress in male clothing, use a male name, carry a gun, smoke, drink alcohol, take on male work, act as the head of a household (for example, living with a sister or mother), play music, sing, and sit and talk socially with men. Sworn virgins are individuals who choose to live as men and are socially recognized and treated as such, referring to them with masculine pronouns.",Albania,Culture
